Nama,Lokasi,Fasilitas,Review,Harga
Kost Mafaza House Tipe Modern,Kecamatan Sukolilo,K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp1.500.000
Kost Keputih Tipe 1,Kecamatan Sukolilo,K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp1.200.000
Kost Prime Sutorejo Prima Tipe C,Mulyorejo,WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp1.700.000
Kost Gebang Kidul 56 D Tipe A,Sukolilo,"WiFi·Kasur·Akses 24 Jam
3.1",-,Rp550.000
Kost Ummi Ali,Kecamatan Mulyorejo,WiFi·Kasur·Akses 24 Jam,-,Rp650.000
Kost Hangtuah,Sukolilo,WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp1.150.000
Kost Pak Ran,Sukolilo,"WiFi·Kasur·Akses 24 Jam
5.0",-,Rp550.000
Kost Mhsw Keputih,Sukolilo,WiFi·AC·Kasur·Akses 24 Jam,-,Rp1.300.000
Kost Jl Keputih Tegal Timur III B,Sukolilo,K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp1.400.000
Kost Homey Keputih ITS,Sukolilo,K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp1.200.000
Kost Teknik Sipil Blok X,Sukolilo,WiFi·Kloset Duduk·Akses 24 Jam,-,Rp685.000
Kost ITS 2 Tipe G,Sukolilo,K. Mandi Dalam·WiFi·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp1.400.000
Kost Pelajar BME Tipe A,Kecamatan Sukolilo,K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp1.850.000
Kost Teras Mangga Gebang Its,Kecamatan Sukolilo,K. Mandi Dalam·WiFi·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp1.600.000
Kost B12,Sukolilo,"K. Mandi Dalam·WiFi·Kasur·Akses 24 Jam
5.0",-,Rp600.000
Kost Keputih 1 1A,Kecamatan Sukolilo,WiFi·Kasur·Akses 24 Jam,-,Rp600.000
Kost Gang III,Kecamatan Sukolilo,WiFi·Kasur·Akses 24 Jam,-,Rp400.000
Kost Griyaku Deluxe,Kecamatan Sukolilo,K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp1.650.000
Kost GM21 Keputih,Kecamatan Sukolilo,"WiFi·Kasur·Akses 24 Jam
5.0",-,Rp750.000
Kost House Of Ds Tipe Regular,Kecamatan Mulyorejo,"K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam
5.0",-,Rp1.750.000
Kost Yellow Tipe A,Gubeng,WiFi·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp950.000
Kost Kebon,Kecamatan Sukolilo,K. Mandi Dalam·WiFi·AC·Kasur·Akses 24 Jam,-,Rp1.500.000
Kost Raya Kalijudan,Kecamatan Mulyorejo,WiFi·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp750.000
Kost Fadil Norman,Kecamatan Sukolilo,K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp1.800.000
Kost JK Tipe A,Kecamatan Mulyorejo,K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp2.500.000
Kost H&R Tipe B,Kecamatan Sukolilo,WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp1.500.000
Kost D 25,Sukolilo,WiFi·AC·Kasur·Akses 24 Jam,-,Rp1.200.000
Kost Graha Keputih Tipe Executive,Sukolilo,K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp1.500.000
Kost Marina V Tipe A,Sukolilo,WiFi·Kasur·Akses 24 Jam,-,Rp750.000
Kost Sutorejo Tipe A,Mulyorejo,WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp1.500.000
Kost F3 Ktt II Tipe 2,Sukolilo,K. Mandi Dalam·WiFi·AC·Akses 24 Jam,-,Rp1.400.000
Kost Dewo Dewi Tipe D,Sukolilo,WiFi·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp1.200.000
Kost Bu Tina Tipe B,Sukolilo,K. Mandi Dalam·WiFi·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp1.100.000
Kost Bu Nur Tipe A2,Sukolilo,WiFi·Kasur·Akses 24 Jam,-,Rp700.000
Kost Jantan,Mulyorejo,"K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam
5.0
·
Kurang Respons",-,Rp1.900.000
Kost Sutorejo Tipe B,Mulyorejo,K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp1.750.000
Kost Dskuy Tipe Standard,Gubeng,K. Mandi Dalam·WiFi·AC·Kasur·Akses 24 Jam,-,Rp2.100.000
Kost Griya Cendekia Tipe A,Kecamatan Sukolilo,K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp1.000.000
Kost 100 Tipe Standart,Mulyorejo,WiFi·Kasur·Akses 24 Jam,-,Rp700.000
Kost Ida Tipe A,Kecamatan Sukolilo,WiFi·Kasur·Akses 24 Jam,-,Rp700.000
Kost Bani Ansor Keputih Tipe AC,Sukolilo,WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp1.250.000
Kost Bu Aisyah,Kecamatan Sukolilo,"K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam
5.0",-,Rp1.350.000
Kost U 130,Kecamatan Sukolilo,"WiFi·AC·Kasur·Akses 24 Jam
Kurang Respons",-,Rp1.200.000
Kost Lokapala Guesthouse,Kecamatan Sukolilo,K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp2.000.000
Kost Rorositna Tipe A,Sukolilo,K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp1.550.000
Kost Cenara I,Sukolilo,K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp1.200.000
Kost Ibu Tri,Kecamatan Sukolilo,K. Mandi Dalam·WiFi·AC·Kasur·Akses 24 Jam,-,Rp1.350.000
Kost Nuris Kusumawan Tipe A,Sukolilo,WiFi·Kasur·Akses 24 Jam,-,Rp700.000
Kost Putra Pak Ali,Sukolilo,WiFi·Kasur·Akses 24 Jam,-,Rp550.000
Kost F3 Ktt II Tipe 1,Sukolilo,K. Mandi Dalam·WiFi·AC·Kasur·Akses 24 Jam,-,Rp1.500.000
Kost Sandeq,Sukolilo,WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp1.600.000
Kost Griya Moelyono,Sukolilo,"WiFi·Kasur·Akses 24 Jam
4.4",-,Rp700.000
Kost Aba Seno Tipe B,Mulyorejo,WiFi·Kasur·Akses 24 Jam,-,Rp700.000
Kost Koshie,Kecamatan Mulyorejo,WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp1.500.000
Kost Alanar,Kecamatan Sukolilo,WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp1.500.000
Kost 43,Sukolilo,"WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam
4.6",-,Rp1.400.000
Kost Aba Seno Tipe D,Mulyorejo,K. Mandi Dalam·WiFi·Kasur·Akses 24 Jam,-,Rp900.000
Kost Comfy House,Sukolilo,K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp1.700.000
Kost Sisca 100 Tipe A,Kecamatan Mulyorejo,WiFi·Kasur·Akses 24 Jam,-,Rp700.000
Kost Nana 1 Tipe A,Kecamatan Mulyorejo,WiFi·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp1.000.000
Kost Indra Single Room,Mulyorejo,K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp1.900.000
Kost Pak Kasno Tipe B,Kecamatan Sukolilo,"WiFi·Kasur·Akses 24 Jam
4.9",-,Rp700.000
Kost Keputih Hijau Ungu 9,Kecamatan Sukolilo,K. Mandi Dalam·WiFi·Kasur·Akses 24 Jam,-,Rp960.000
Kost Alif Tipe A,Sukolilo,"K. Mandi Dalam·WiFi·AC·Kasur·Akses 24 Jam
Kurang Respons",-,Rp1.300.000
Kost Gebang 29 Tipe A,Kecamatan Sukolilo,WiFi·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp800.000
Kost Bu Najib Keputih,Sukolilo,WiFi·Kasur·Akses 24 Jam,-,Rp750.000
Kost Bani Ansor I Tipe B Keputih,Kecamatan Sukolilo,K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp1.250.000
Kost Pak Anwar,Sukolilo,WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp1.000.000
Kost Perumdos ITS Tipe B,Kecamatan Sukolilo,WiFi·AC·Kasur·Akses 24 Jam,-,Rp1.100.000
Kost Amanah Standart,Sukolilo,K. Mandi Dalam·WiFi·Kasur·Akses 24 Jam,-,Rp900.000
Kost Bu Aisyah Tipe B,Sukolilo,WiFi·Kasur·Akses 24 Jam,-,Rp650.000
Kost Jantan Tipe A,Mulyorejo,K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp1.900.000
Kost Mas Mus 1 Tipe A,Kecamatan Sukolilo,K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp1.600.000
Kost Bu Ummu Salamah,Sukolilo,WiFi·Kasur·Akses 24 Jam,-,Rp600.000
Kost Shanty Tipe A,Kecamatan Sukolilo,"K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam
Kurang Respons",-,Rp1.000.000
Kost Jalan Manyar Kertoadi,Mulyorejo,WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp1.300.000
Kost Griya Siswa,Kecamatan Mulyorejo,"K. Mandi Dalam·WiFi·AC·Kasur·Akses 24 Jam
4.9",-,Rp1.400.000
Kost Aba Seno Tipe C,Mulyorejo,K. Mandi Dalam·WiFi·Kasur·Akses 24 Jam,-,Rp750.000
Kost Gebang,Sukolilo,WiFi·Kasur·Akses 24 Jam,-,Rp700.000
Kost Bhaskara II,Kecamatan Mulyorejo,"K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam
5.0",-,Rp1.300.000
Kost Ibu Nur,Kecamatan Sukolilo,WiFi·Kasur·Akses 24 Jam,-,Rp550.000
Kost Umi,Kecamatan Sukolilo,WiFi·Kasur·Akses 24 Jam,-,Rp450.000
Kost Putra Mulyosari,Mulyorejo,K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp1.300.000
Kost G Executive,Kecamatan Sukolilo,WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp1.302.000
Kost Wisper,Mulyorejo,WiFi·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp1.000.000
Kost Anak Kuliahan Tipe A,Kecamatan Sukolilo,WiFi·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp650.000
Kost 21 Eksklusif Tipe B,Mulyorejo,K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp2.000.000
Kost Amelia Tipe A,Kecamatan Sukolilo,WiFi·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp700.000
Kost Bu Nur Tipe D,Sukolilo,K. Mandi Dalam·WiFi·Kasur·Akses 24 Jam,-,Rp1.500.000
Kost Dewo Dewi Tipe C,Sukolilo,WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp1.700.000
Kost Hijau Ungu,Sukolilo,K. Mandi Dalam·WiFi·AC·Kasur·Akses 24 Jam,-,Rp1.400.000
Kost Inas Nuri Al Salwa Tipe A,Mulyorejo,WiFi·Kasur·Akses 24 Jam,-,Rp600.000
Kost Kiyura II,Kecamatan Sukolilo,K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp1.800.000
Kost Gotham City,Kecamatan Sukolilo,WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp1.350.000
Kost ITS N Hang Tuah Tipe A,Kecamatan Sukolilo,K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp1.650.000
Kost Tojib,Mulyorejo,WiFi·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp600.700
Kost Andalan,Sukolilo,WiFi·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp600.000
Kost Bangber,Kecamatan Mulyorejo,K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp1.700.000
Kost Tikungan S,Sukolilo,WiFi·Kasur·Akses 24 Jam,-,Rp625.000
Kost Yellow Tipe B,Gubeng,WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp1.350.000
Kost Luthfil Aziz tipe A,Sukolilo,K. Mandi Dalam·WiFi·AC·Kasur·Akses 24 Jam,-,Rp1.500.000
Kost Abhipraya Tipe A,Kecamatan Sukolilo,K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp1.350.000
Kost Blok D14,Kecamatan Sukolilo,"WiFi·Kasur·Akses 24 Jam
Kurang Respons",-,Rp600.000
Kost Graha F3 Tipe C,Kecamatan Sukolilo,WiFi·Kasur·Akses 24 Jam,-,Rp900.000
Kost Risa Tipa A,Kecamatan Sukolilo,K. Mandi Dalam·WiFi·AC·Kasur·Akses 24 Jam,-,Rp1.500.000
Kost Bani Ansor Keputih Tipe AC B,Sukolilo,WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp1.350.000
Kost Semolowaru 41 Tipe A,Sukolilo,WiFi·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp600.000
Kost Dekat Kampus ITS Tipe A,Mulyorejo,WiFi·Kasur·Akses 24 Jam,-,Rp750.000
Kost F3 Ktt II Tipe 3,Sukolilo,WiFi·AC·Kasur·Akses 24 Jam,-,Rp1.200.000
Kost Pak Ali Irsyad I,Sukolilo,WiFi·Kasur·Akses 24 Jam,-,Rp650.000
Kost Aman Nyaman Tipe C,Sukolilo,WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp1.500.000
Kost Henny,Kecamatan Mulyorejo,K. Mandi Dalam·WiFi·Kasur·Akses 24 Jam,-,Rp850.000
Kost Bu Risa 105 Tipe A,Mulyorejo,WiFi·Kasur·Akses 24 Jam,-,Rp666.000
Kost Bu Anugrah,Kecamatan Sukolilo,K. Mandi Dalam·WiFi·Kasur·Akses 24 Jam,-,Rp900.000
Kost Safars,Kecamatan Sukolilo,"K. Mandi Dalam·WiFi·Kasur·Akses 24 Jam
Kurang Respons",-,Rp600.000
Kost ITS Marina Barat Tipe A,Sukolilo,K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp1.675.000
Kost ITS N Hang Tuah Tipe B,Kecamatan Sukolilo,K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp1.550.000
Kost Amanah 5,Kecamatan Sukolilo,"K. Mandi Dalam·WiFi·Kasur·Akses 24 Jam
Kurang Respons",-,Rp850.000
Kost Mahasiswa 25,Kecamatan Sukolilo,WiFi·Kloset Duduk·Akses 24 Jam,-,Rp750.000
Kost Faleci,Sukolilo,"K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam
5.0",-,Rp1.350.000
Kost Ariza Tipe A,Kecamatan Sukolilo,WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp1.000.000
Kost Susan Tipe VIP,Sukolilo,K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp2.200.000
Kost Dewo Dewi Tipe A,Sukolilo,WiFi·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp900.000
Kost 21 Eksklusif Tipe A,Mulyorejo,WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp1.500.000
Kost Abu Bakar Tipe A,Sukolilo,WiFi·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp600.000
Kost Bu Nur Tipe C2,Sukolilo,K. Mandi Dalam·WiFi·Kasur·Akses 24 Jam,-,Rp1.300.000
Kost W2 ITS,Sukolilo,"WiFi·AC·Kasur·Akses 24 Jam
Kurang Respons",-,Rp1.050.000
Kost Semolowaru Utara 141,Kecamatan Sukolilo,WiFi·Kasur·Akses 24 Jam,-,Rp500.000
Kost Tegal,Mulyorejo,WiFi·Kasur·Akses 24 Jam,-,Rp700.000
Kost Bu Iis Tipe A,Kecamatan Mulyorejo,K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp1.700.000
Kost Spr A3 Tipe E,Sukolilo,WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp1.300.000
Kost Sharing,Kecamatan Sukolilo,WiFi·Kasur·Akses 24 Jam,-,Rp583.333
Kost KTT325,Kecamatan Sukolilo,K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp1.150.000
Kost Asem Payung,Kecamatan Sukolilo,K. Mandi Dalam·WiFi·AC·Kasur·Akses 24 Jam,-,Rp1.200.000
Kost P Wayan Tipe AC,Sukolilo,K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp1.000.000
Kost Bu Maula,Kecamatan Sukolilo,WiFi·Kasur·Akses 24 Jam,-,Rp550.000
Kost Pak Dachlan Tipe C,Mulyorejo,WiFi·Kloset Duduk·Akses 24 Jam,-,Rp700.000
Kost B19 Tipe A,Kecamatan Sukolilo,WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp1.200.000
Kost Bu Novi I,Sukolilo,K. Mandi Dalam·WiFi·Kasur·Akses 24 Jam,-,Rp600.000
Kost ITS Hangtuah,Sukolilo,K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp1.600.000
Kost Keputih ITS,Sukolilo,WiFi·Kloset Duduk·Kasur·Akses 24 Jam,-,Rp650.000
